Identifier	Character	Dialogue	Filename	Line Number
start_518b0f25	m	You can keep all the animations on.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	93
start_8240cba6	u	Got it!	game/tutorial_day_scripts/tutorial_0_introduction.rpy	94
start_1010fb76	u	If you ever want to change which animations you see, you can find toggles for each of them in the Settings.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	96
start_b33826f2	u	There are other accessibility options there as well, such as audio captions for background music and sound effects.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	96
start_44fa15ae	u	Alright, so when this call ends I'll send you a chatroom message with a bit more information on getting started from here.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	96
start_fccdf2c7	u	Good luck!	game/tutorial_day_scripts/tutorial_0_introduction.rpy	96
start_c9f3040f	u	You're here!	game/tutorial_day_scripts/tutorial_0_introduction.rpy	125
start_be6e301b	u	Thank you for helping me ^^	game/tutorial_day_scripts/tutorial_0_introduction.rpy	126
start_204cbad6	u	As you can see, this is a sort of \"introductory\" chatroom. It works a lot like the other chatrooms,	game/tutorial_day_scripts/tutorial_0_introduction.rpy	127
start_304522f4	u	but with a couple of changes you can see in tutorial_0_introduction.rpy	game/tutorial_day_scripts/tutorial_0_introduction.rpy	128
start_0f2f4e8a	u	I recommend you get familiar with how regular chatrooms and phonecalls work before you look at this chat, though!	game/tutorial_day_scripts/tutorial_0_introduction.rpy	129
start_f6960b62	m	What should I look at first?	game/tutorial_day_scripts/tutorial_0_introduction.rpy	134
start_d80a7a36	u	Well, the first thing I recommend is to just play through the Tutorial Day.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	135
start_1f33836f	u	It showcases some of the features so you know what sorts of things you can do with the program.	game/tutorial_day_scripts/tutorial_0_introduction.rpy	136
start_fd060598	u	I won't keep you much longer. Enjoy the program!	game/tutorial_day_scripts/tutorial_0_introduction.rpy	139
example_chat_edd773ad	u	Hello, [name] ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	15
example_chat_b95080c9	u	I thought you might come by.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	16
example_chat_fae63efd	u	You want to learn more about how to make a chatroom, right?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	17
example_chat_09da39d3	u	I've come to show off a few of its features.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	18
example_chat_6215b2a1	m	Let's get started!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	23
example_chat_2a5a0861	u	Great! That's the kind of attitude I'm looking for ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	24
example_chat_d937c61b	m	What if I don't know any coding?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	27
example_chat_f2f39b68	u	Don't worry! I've tried to make this as easy to use as possible.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	28
example_chat_60ffd6f6	u	There's an extensive User Guide included with the program to look at,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	29
example_chat_9ca1328c	u	and I'll also be monitoring the Mysterious Messenger Discord server if you have questions.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	30
example_chat_173bc8b1	u	This project was coded in Ren'Py, so you can always check out their forums, too.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	31
example_chat_d8e54196	u	Anyway, you can see what we just did there was a menu!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	33
example_chat_84932c9f	u	It allows you to alter a conversation based on responses.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	34
example_chat_8528a4d0	u	If you take a look tutorial_1_chatroom.rpy, you can get an idea of how to use them.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	35
example_chat_9e94f1bd	u	There are lots of things to learn about!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	36
example_chat_3cd0bdc5	u	What would you like to see first?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	37
learn_cbc20537	m	I want to learn how to use emojis and images	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	50
learn_111bd2fb	u	Emojis and images, huh?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	52
learn_b0ebb0c4	u	Okay. I'll let someone else explain this.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	53
learn_42fa1997	u	I'll be back later ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	54
learn_77dc8eef	m	Can you teach me about banners?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	62
learn_ce4d5332	u	Oh, banners?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	64
learn_b0ebb0c4_1	u	Okay. I'll let someone else explain this.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	65
learn_42fa1997_1	u	I'll be back later ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	66
learn_bbefaba2	m	I'd like to learn about heart icons	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	74
learn_2b84a74c	u	Heart icons?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	76
learn_b59c5c68	u	Hmm, sounds good. I'll let someone else explain this.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	77
learn_728a6b7a	u	I'll be back later ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	78
learn_39125c19	m	Screen shake and special bubbles, please	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	86
learn_39724f9d	u	You want to know about special speech bubbles and screen shake?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	88
learn_33979e9e	u	Alright then. I'll let someone else explain this.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	89
learn_728a6b7a_1	u	I'll be back later ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	90
emojis_90acd5e5	s	O	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	105
emojis_af9a0054	s	M	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	106
emojis_54a85770	s	G	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	107
emojis_fbff176f	s	I get to explain emojis!!!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	108
emojis_ac328b1a	s		game/tutorial_day_scripts/tutorial_1_chatroom.rpy	109
emojis_c72138ec	s	Yay!!!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	110
emojis_64e32a14	s	The program has a whole bunch of emojis defined in emoji_definitions.rpy already,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	111
emojis_9dcbe4c6	s	and it will even play the right sound effect for you when the emoji is shown.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	112
emojis_62021b1e	s	You also need to make sure the program knows the the message contains an image (using (img=True) after the dialogue)	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	113
emojis_ae1e8c9a	s	otherwise it'll look like this lolol	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	114
emojis_867e1b50	s		game/tutorial_day_scripts/tutorial_1_chatroom.rpy	115
emojis_8adaf086	s	Which is probably not what you want!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	116
emojis_e528b6ac	s	You'll have to be careful to get the spelling right,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	117
emojis_8a881805	s	since otherwise you'll get an \"image not found\" message.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	118
emojis_808dd5d6	s	And it won't play any sound files, either!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	119
emojis_914fd3bd	s	If you want to add more emojis,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	120
emojis_ce2dceed	s	there's a whole section on just that in the User Guide.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	121
emojis_224522b9	s	Now I'll let you check out the emojis currently coded into the game.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	122
emojis_f3c7bc2e	s	Just select a character to see the available emojis or \"Done\" if you're finished	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	123
emoji_1ae75f09	s	The last thing I'm here to explain is how to post CGs.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	190
emoji_5473d65e	s	That means images like this!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	191
emoji_575769ea	s	s_1	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	192
emoji_1e0f2484	s	They're fully clickable like they are in-game; check it out!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	193
emoji_d145534d	s	You can post CGs too!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	194
emoji_986a235d	m	I can?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	198
emoji_e9fecc03	s	Yeah! Give it a try!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	199
emoji_16d151a5	m	cg s_1	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	202
emoji_62e907c3	m	s_1	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	204
emoji_9c088578	m		game/tutorial_day_scripts/tutorial_1_chatroom.rpy	205
emoji_b534ccd9	s	Yeah, just like that!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	206
emoji_7d672cf0	s	You post these a little differently from emojis. 	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	207
emoji_d51079af	s	There's more information in the User Guide.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	208
emoji_51f13668	s	The program will take care of unlocking the image in the gallery and letting players view it full-size!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	209
emoji_b982d6c4	s	Just make sure you indicate that the message contains an image,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	210
emoji_c3961194	s	Otherwise it'll just show up in text, like this:	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	211
emoji_0270d6e5	s	s_1	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	212
emoji_02f34567	s	But if you check off the \"Image\" modifier, you get this:	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	213
emoji_575769ea_1	s	s_1	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	214
emoji_f04df164	s	Hope this helped!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	215
emoji_96c4376b	s	Let me know if you have any questions later~	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	216
banners_ee39fc04	y	Hello!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	230
banners_dd302f6f	y	I'm supposed to explain banners to you.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	231
banners_b4b18ea3	y	It's pretty quick, I promise!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	232
banners_1c5b8d8d	y		game/tutorial_day_scripts/tutorial_1_chatroom.rpy	233
banners_7df1291b	y	You call them with \"call banner('__')\",	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	234
banners_e504e4b9	y	where '__' is the name of the banner you want.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	235
banners_76eb1d6a	y	It looks like you've got banner animations turned off though!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	237
banners_f92be29a	y	So you won't see them.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	238
banners_73cd373c	y	Since the animations can be kind of distracting, there's a toggle to turn them off.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	240
banners_899f14eb	y	Do you want to see banner animations?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	242
banners_9317c7ea	m	Yes, I want to see banner animations.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	246
banners_da0ea8f6	y	Okay!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	248
banners_6db8041e	m	No, turn banner animations off.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	250
banners_bbbec542	y	Alright, got it!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	252
banners_69559775	y	There are four different types of banners:	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	255
banners_5d95217a	y	The lightning banner!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	256
banners_a9ef9e92	y	For when you're feeling angry ^^;;	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	258
banners_0411373d	y	The heart banner!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	259
banners_100ae4d1	y	For happy stuff!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	261
banners_f221a652	y	The annoy banner	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	262
banners_f0874329	y	For when you're irritated	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	264
banners_7f52f277	y	And last but not least,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	265
banners_9d17f3c2	y	the 'well' banner!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	266
banners_0fa1ccb3	y	...	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	268
banners_0461803d	y	It's for times when you're a little lost for words.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	269
banners_d0ed17eb	y		game/tutorial_day_scripts/tutorial_1_chatroom.rpy	270
banners_9e2aa652	y	I have one more thing I was going to show you:	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	272
banners_5dc42762	y	it's not in the base game, but in this program you can pick your pronouns.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	273
banners_022760b3	y	You said you use [they]/[them] pronouns, right?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	274
banners_4abfc889	y	So we'll use [they]/[them] whenever we talk about you.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	275
banners_8b062fb7	y	You can check out Short forms/Startup Variables under variables.rpy - at the start there are some variables so you know how to use pronouns when writing a script	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	276
banners_cf898acf	y	If you want to add any new variables, there's a section in the User Guide about doing just that.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	277
banners_adc04f70	y	And if you ever want to change your pronouns, just go to the profile page (accessed from the main menu).	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	278
banners_b5df65cb	y	That's all from me!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	279
banners_dcf4fe20	y	Good luck with the program ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	280
banners_f75df2ce	y		game/tutorial_day_scripts/tutorial_1_chatroom.rpy	281
heart_icons_2c4cd385	z		game/tutorial_day_scripts/tutorial_1_chatroom.rpy	295
heart_icons_3c97c090	z	Hey cutie ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	296
heart_icons_9fc71b63	z	I'm here to explain heart icons!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	297
heart_icons_2b60fc4a	z	If you're having a hard time looking at the animation for the heart icons,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	298
heart_icons_717fe6da	z	or it's hard to tell them apart,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	299
heart_icons_296301d3	z	There's also an option to turn them into text popups that look like this:	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	300
heart_icons_61ab4662	z	Would you like to use heart icons or the text notifications?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	302
heart_icons_4322e4c1	m	I want the regular heart icons.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	306
heart_icons_2a8ad87f	z	Got it!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	308
heart_icons_6e77f855	z	You'll see the regular heart animation then.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	309
heart_icons_5b9347d9	m	I want the text notifications.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	312
heart_icons_2a8ad87f_1	z	Got it!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	314
heart_icons_2e96338e	z	You'll see the text popup whenever someone likes your response.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	315
heart_icons_222c1e01	z	If you change your mind on what kind of icon you want,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	317
heart_icons_b8f87b8a	z	There's a toggle in the Settings called Heart Icon Text Notifications	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	318
heart_icons_2b68987a	z	Anyway, so getting a heart point will look like this:	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	320
heart_icons_3ad04886	z	And you can lose heart points, too.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	323
heart_icons_f53cc717	z	You just write call heart_break(z) and give it the ChatCharacter variable you're losing a point with instead of z	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	324
heart_icons_4d8a72ae	z	And each character has a different one	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	326
heart_icons_feb6439c	z	They all use the same white heart, this one	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	327
heart_icons_72bf64cc	z	and just recolour it depending on what argument you pass via \"call heart_icon(z)\"	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	329
heart_icons_173d8f40	z	You can easily add your own colours, too, whenever you define a ChatCharacter like in character_definitions.rpy	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	330
heart_icons_30e66000	z	Here are the currently available colours:	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	331
heart_icons_56d0a0b6	z	Seven	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	332
heart_icons_c7a95592	z	Me!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	334
heart_icons_b6ad82ef	z	Jaehee	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	336
heart_icons_bd9b8de9	z	Jumin	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	338
heart_icons_ddc26c44	z	Yoosung	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	340
heart_icons_019c3689	z	Ray	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	342
heart_icons_bddcfbce	z	V	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	344
heart_icons_0ed68c26	z	and then there are a few special ones	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	346
heart_icons_fc48b5bb	z	The white heart I mentioned before (tied to the username 'Unknown')	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	347
heart_icons_73ad08e1	z	You can also get this heart by passing heart_icon the short form for Saeran (sa)	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	349
heart_icons_e920ffae	z	And then there is this heart	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	351
heart_icons_be76c1ef	z	which in this game is for Rika.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	353
heart_icons_012e0fb1	z	The last thing I'm here to explain is the 'heartbreak' icon	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	354
heart_icons_1796d45f	z	It works the same as the regular heart icons -- just call \"heart_break\" with that character	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	355
heart_icons_65a03674	z	It will automatically colour itself	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	356
heart_icons_c7a9daf7	z	They look like this!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	357
heart_icons_c5e1d63f	z	But you don't really want to hurt any of our feelings, right?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	360
heart_icons_d90300d6	z		game/tutorial_day_scripts/tutorial_1_chatroom.rpy	361
heart_icons_2b848a4b	z	The program automatically tallies the heart points you've earned during a chatroom and displays the total after you hit Save&Exit.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	363
heart_icons_9c5fc49e	z	It keeps track of both the total points earned during a chatroom,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	364
heart_icons_fa80d86f	z	as well as how many points you have with each individual character	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	365
heart_icons_34cda0c1	z	There's also a second argument you can pass it to have heart points count towards a bad end.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	366
heart_icons_d22fc579	z	Check out the User Guide for more on that!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	367
heart_icons_12095433	z	Also note that Ray and Saeran's heart points count towards the same character	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	368
heart_icons_5e2508a3	z	Good luck with the rest of the program!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	369
screen_shake_b5ce0871	ja	Hello, [name].	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	383
screen_shake_ebc4ab99	ja	Mr. Han will be with us shortly. 	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	384
screen_shake_eb614813	ja	Before we begin though, I should ask:	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	385
screen_shake_8edbb9f5	ja	Do you want to see screen shake animations?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	386
screen_shake_b6ee0156	m	Yes, I want to see the screen shake animation.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	391
screen_shake_3fa6c25d	ja	Understood.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	393
screen_shake_dee968ba	m	No, turn screen shake animation off.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	395
screen_shake_3fa6c25d_1	ja	Understood.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	397
screen_shake_a02dcff4	ja	Ah, right on time.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	400
screen_shake_4f11e80f	ja	Shall we get started then?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	401
screen_shake_de2fc082	ja	...	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	403
screen_shake_07fd5e3c	ja	Mr. Han?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	405
screen_shake_7c89f958	ja		game/tutorial_day_scripts/tutorial_1_chatroom.rpy	406
screen_shake_4bd6c435	ja	Mr. Han.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	407
screen_shake_fe6b0752	ja	MR. HAN!!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	408
screen_shake_dff5f9dd	ju	Is something the matter?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	410
screen_shake_e43ef17c	ja	Oh.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	411
screen_shake_af023805	ja	You weren't responding so I thought perhaps you were asleep.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	412
screen_shake_f489f8b9	ju	Elizabeth the 3rd was sleeping on my lap so I couldn't disturb her.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	413
screen_shake_a49ae96a	ja	Of course;;	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	414
screen_shake_8cd90516	ja	...As I was saying.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	415
screen_shake_a252ccdf	ja	We're supposed to teach [name] about some other chatroom features.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	416
screen_shake_c1df2222	ju	Like the special speech bubbles?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	417
screen_shake_e7b66dc3	ja	Yes ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	418
screen_shake_e39ef1c7	ja	There are many special speech bubbles built into the game.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	419
screen_shake_31c5c1cd	ja	Most bubbles come in three sizes:	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	420
screen_shake_7c5b58b9	ja	small	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	421
screen_shake_57f959c2	ja	medium	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	422
screen_shake_c66129ac	ja	and large	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	423
screen_shake_9b2e671a	ja	The text should usually resize itself to fit, but you need to choose the size yourself.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	424
screen_shake_0c5d1e1a	ja	For example, this bubble might be too small.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	425
screen_shake_728488d3	ja	As for screen shake,	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	427
screen_shake_a374f28f	ja	you simply need to use the call	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	428
screen_shake_c707885d	ja	\"call shake\" 	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	429
screen_shake_62a9a949	ja	And it does this	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	430
screen_shake_098a48eb	ja	Lastly, you can check out all of the special bubbles present in the game.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	432
screen_shake_6516ef8e	ja	Just select \"Done\" when you're finished.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	433
ending_13bc9b22	u	You're back!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	445
ending_7baa156a	u	So what did you think?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	446
ending_34952a49	u	Are you ready to start making your own chatrooms?	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	447
ending_1c90bf90	m	Definitely!	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	451
ending_81acd690	u	I'm glad! ^^	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	452
ending_156676df	m	I don't know if I'm ready yet...	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	455
ending_7cdcc94d	u	I recommend checking out the User Guide, which will walk you through creating a chatroom.	game/tutorial_day_scripts/tutorial_1_chatroom.rpy	456
